env,algo,config_name,seed,final_return,best_return,auc_return,collapse,severe_collapse,degradation_ratio,walltime_s,total_steps,drift_max,drift_p95,drift_final,kl_max,kl_p95,kl_final,mu_target_max,mu_target_p95,value_ev_mean,value_ev_final,value_ev_min,value_pc_loss_final,value_pc_loss_trend,pretanh_sat_max,pretanh_sat_final,log_std_mean_final,frac_std_at_min_final,frac_std_at_max_final
halfcheetah,pc_reinforce,halfcheetah_pc_reinforce_adam_relu_ts05_sota,1,1280.6,1280.6,619.13,0,0,1.0,749.7,5111808,1.562635064125061,1.4077443718910219,0.18337048590183258,,,,26.48223304748535,21.226324462890627,,,,,,0.0710283915201823,0.0697491963704427,-0.8412958383560181,0.0,0.0
halfcheetah,pc_reinforce,halfcheetah_pc_reinforce_adam_relu_ts05_sota,2,483.72,483.72,-40.96,0,0,1.0,738.2,5111808,5.016079425811768,4.003721785545349,0.1344771534204483,,,,39.47441482543945,23.241035842895513,,,,,,0.5989023844401041,0.23276901245117188,-0.8657583594322205,0.00016276042151730508,0.0
halfcheetah,pc_reinforce,halfcheetah_pc_reinforce_adam_relu_ts05_sota,3,-11.5,951.89,70.64,1,1,-0.012,740.2,5111808,5.007894039154053,4.380942153930664,0.29793205857276917,,,,48.16319274902344,21.674805641174334,,,,,,0.9747772216796875,0.561773935953776,-0.8508131504058838,0.00016276042151730508,0.0
halfcheetah,pc_reinforce,halfcheetah_pc_reinforce_adam_tanh_ts03_sota,1,-562.43,1179.99,417.56,0,1,-0.477,750.7,5111808,9.13809585571289,3.7493040561676096,0.17583762109279633,,,,11.112045288085938,8.772660350799562,,,,,,0.9684359232584635,0.8186798095703125,-1.0338845252990723,0.0,0.0
halfcheetah,pc_reinforce,halfcheetah_pc_reinforce_adam_tanh_ts03_sota,2,-536.08,3136.99,1052.01,1,1,-0.171,751.8,5111808,10.569259643554688,9.983951568603516,0.24083417654037476,,,,17.07661247253418,11.696036338806152,,,,,,0.802008310953776,0.6850331624348959,-0.9191818237304688,0.0,0.0
halfcheetah,pc_reinforce,halfcheetah_pc_reinforce_adam_tanh_ts03_sota,3,-588.51,1178.29,277.69,1,1,-0.499,742.5,5111808,9.91917896270752,8.31571731567383,0.0035303663462400436,,,,19.241262435913086,11.801762962341314,,,,,,0.9769948323567709,0.8789215087890625,-0.9611009359359741,0.0,0.0
halfcheetah,pc_reinforce,halfcheetah_pc_reinforce_adam_tanh_ts04_sota,1,-431.03,1068.56,532.07,0,1,-0.403,748.1,5111808,7.579294681549072,3.5915115356445337,2.527146339416504,,,,15.602771759033203,14.066232872009278,,,,,,0.9818166097005209,0.9818166097005209,-1.139815092086792,0.0,0.0
halfcheetah,pc_reinforce,halfcheetah_pc_reinforce_adam_tanh_ts04_sota,2,-578.16,2916.01,1166.73,0,1,-0.198,757.7,5111808,10.444497108459473,6.255604410171511,0.04495842382311821,,,,29.513084411621094,13.07112493515015,,,,,,0.9361534118652344,0.7261708577473959,-0.9229217767715454,0.0,0.0
halfcheetah,pc_reinforce,halfcheetah_pc_reinforce_adam_tanh_ts04_sota,3,-515.96,1557.51,912.84,0,1,-0.331,810.6,5111808,9.594258308410645,5.522874355316166,0.44428586959838867,,,,23.480737686157227,17.22199497222901,,,,,,0.6751556396484375,0.6008961995442709,-0.9393943548202515,0.0,0.0
halfcheetah,pc_reinforce,halfcheetah_pc_reinforce_adam_tanh_ts05_sota,1,-545.97,962.81,1.78,1,1,-0.567,742.0,5111808,10.161421775817871,6.410580396652227,0.005059545394033194,,,,18.52007484436035,15.53198413848877,,,,,,0.6158498128255209,0.4881731669108073,-0.9226562976837158,0.0,0.0
