env,algo,config_name,seed,final_return,best_return,auc_return,collapse,severe_collapse,degradation_ratio,walltime_s,total_steps,drift_max,drift_p95,drift_final,kl_max,kl_p95,kl_final,mu_target_max,mu_target_p95,value_ev_mean,value_ev_final,value_ev_min,value_pc_loss_final,value_pc_loss_trend,pretanh_sat_max,pretanh_sat_final,log_std_mean_final,frac_std_at_min_final,frac_std_at_max_final
gradclip_probe,?,sgd_euclid_mt20_lr003_clip10p2414,1,310.88,605.43,13.87,1,0,0.513,408.0,1007616,4.002652645111084,0.535612678527832,0.3442341387271881,12.118476867675781,0.24560042619705186,0.11894434690475464,115.74481201171875,70.24776763916014,-1.17103757412453,-0.7637165784835815,-2.136025905609131,0.032946713268756866,0.11562303555165322,0.10770670572916667,0.10770670572916667,-0.7686982154846191,0.000244140625,0.000244140625
gradclip_probe,?,sgd_euclid_mt20_lr003_clip10p2414,2,-285.03,410.14,-28.78,1,1,-0.695,416.4,1007616,2.7586655616760254,0.5652659118175505,0.4609746038913727,8.877314567565918,0.3200427114963531,0.12751102447509766,106.80069732666016,82.95114135742186,-1.0810110617459305,-1.5931041240692139,-3.0893874168395996,0.01695139892399311,0.06301413806902048,0.20821126302083334,0.20821126302083334,-0.6729394793510437,0.0011393229942768812,0.0
gradclip_probe,?,sgd_euclid_mt20_lr003_clip10p2414,3,855.39,953.36,661.92,0,0,0.897,436.4,1007616,0.5491629838943481,0.4569780915975569,0.3958628475666046,0.3090950846672058,0.18649892210960387,0.1880701184272766,59.38006591796875,45.25430221557617,-0.04319166894850692,0.7100614309310913,-1.4020142555236816,0.025595787912607193,0.10287257918616163,0.3428141276041667,0.3428141276041667,-0.6016755104064941,0.0,0.0
gradclip_probe,?,sgd_euclid_mt20_lr003_clip1p4623,1,177.44,605.43,11.55,1,0,0.293,411.2,1007616,0.7627453804016113,0.5374871134757994,0.3912643492221832,0.45518219470977783,0.27302528023719785,0.12619781494140625,80.07357788085938,66.42638473510742,-1.2231917032381383,-0.9389307498931885,-2.3784432411193848,0.03893965482711792,0.13092976927233713,0.1092529296875,0.1092529296875,-0.7980624437332153,0.00016276042151730508,0.0005696614971384406
gradclip_probe,?,sgd_euclid_mt20_lr003_clip1p4623,2,-257.33,259.94,-3.9,0,0,-0.99,412.8,1007616,0.7265655994415283,0.579912334680557,0.35941562056541443,0.5289864540100098,0.2722171306610106,0.12842923402786255,107.4049072265625,78.25821456909179,-1.1858393205859796,-1.6799283027648926,-3.0893874168395996,0.019232146441936493,0.07169363892334076,0.19999186197916666,0.19999186197916666,-0.6692606806755066,0.0030110678635537624,0.0
gradclip_probe,?,sgd_euclid_mt20_lr003_clip1p4623,3,894.78,962.08,667.08,0,0,0.93,439.2,1007616,0.6560614109039307,0.46561281979083996,0.31995689868927,0.3728599548339844,0.18386056423187253,0.1381697654724121,59.38006591796875,45.919741439819326,-0.05956350012523372,0.6434628963470459,-1.4707331657409668,0.027115032076835632,0.10897922479616971,0.32916259765625,0.32916259765625,-0.6589555144309998,0.000732421875,0.0
gradclip_probe,?,sgd_euclid_mt20_lr003_clip4p387,1,355.19,605.43,15.51,1,0,0.587,411.4,1007616,1.8609611988067627,0.6069354832172393,0.2792069911956787,3.490129232406616,0.2901204049587246,0.07309985160827637,74.42737579345703,70.12455978393552,-1.1344134594366801,-0.655194878578186,-2.261636734008789,0.04634876176714897,0.1489728669333144,0.11024983723958333,0.10825602213541667,-0.8262408971786499,0.0,0.0006510416860692203
gradclip_probe,?,sgd_euclid_mt20_lr003_clip4p387,2,-370.99,410.14,-41.85,1,1,-0.905,412.1,1007616,1.5184458494186401,0.5598167836666106,0.6114872694015503,2.474759101867676,0.30022617578506455,0.2532344460487366,94.52970886230469,78.038809967041,-1.1005994818074916,-1.8446340560913086,-3.0893874168395996,0.01763405278325081,0.06400437154112056,0.20247395833333334,0.20247395833333334,-0.6801762580871582,0.0023600261192768812,0.0004069010610692203
gradclip_probe,?,sgd_euclid_mt20_lr003_clip4p387,3,855.39,953.36,661.92,0,0,0.897,438.7,1007616,0.5491629838943481,0.4569780915975569,0.3958628475666046,0.3090950846672058,0.18649892210960387,0.1880701184272766,59.38006591796875,45.25430221557617,-0.04319166894850692,0.7100614309310913,-1.4020142555236816,0.025595787912607193,0.10287257918616163,0.3428141276041667,0.3428141276041667,-0.6016755104064941,0.0,0.0
gradclip_probe,?,sgd_euclid_mt20_lr003_noclip_measure,1,266.93,605.43,38.06,1,0,0.441,404.7,1007616,2.4194297790527344,0.5117412239313124,0.34827476739883423,6.252862453460693,0.24690651297569272,0.1466066837310791,93.44209289550781,62.676227188110346,-1.1264651771483383,-0.5551648139953613,-2.062074899673462,0.038813792169094086,0.13263517476158257,0.10673014322916667,0.10673014322916667,-0.788345456123352,0.0,8.138021075865254e-05
