env,algo,config_name,seed,final_return,best_return,auc_return,collapse,severe_collapse,degradation_ratio,walltime_s,total_steps,drift_max,drift_p95,drift_final,kl_max,kl_p95,kl_final,mu_target_max,mu_target_p95,value_ev_mean,value_ev_final,value_ev_min,value_pc_loss_final,value_pc_loss_trend,pretanh_sat_max,pretanh_sat_final,log_std_mean_final,frac_std_at_min_final,frac_std_at_max_final
halfcheetah,pc_actor_critic,halfcheetah_pc_actor_critic_adam_tanh_ts10_bench_mt20_nat_sminm10,1,911.12,911.12,572.73,0,0,1.0,424.0,1007616,0.21342866122722626,0.19172908216714854,0.09278582036495209,0.11004400253295898,0.041221940517425504,0.007908046245574951,22.541139602661133,17.03016300201416,0.2904162547452663,0.27839237451553345,-0.8317351341247559,0.016350286081433296,0.06346831730438565,0.1810302734375,0.1810302734375,-0.28081950545310974,0.0,0.0
halfcheetah,pc_actor_critic,halfcheetah_pc_actor_critic_adam_tanh_ts10_bench_mt20_nat_sminm10,2,859.06,859.06,361.71,0,0,1.0,423.8,1007616,0.179700568318367,0.13944046199321747,0.09938328713178635,0.1496160626411438,0.048427134752273525,0.00874549150466919,21.412559509277344,17.06115970611572,0.29292787235926804,0.35896503925323486,-0.614795446395874,0.020916692912578583,0.08923984040718466,0.13553873697916666,0.13205973307291666,-0.27346405386924744,0.0,0.0
halfcheetah,pc_actor_critic,halfcheetah_pc_actor_critic_adam_tanh_ts10_bench_mt20_nat_sminm10,3,-282.85,909.68,158.68,1,1,-0.311,432.9,1007616,0.21094192564487457,0.1714745938777923,0.09894181787967682,0.10766392946243286,0.03564609885215758,0.012271583080291748,21.182260513305664,14.115174388885496,0.4420151022391591,0.21654683351516724,-0.5020824670791626,0.030078832060098648,0.13559567595595295,0.17751057942708334,0.17435709635416666,-0.2788720726966858,0.0,0.0
halfcheetah,pc_actor_critic,halfcheetah_pc_actor_critic_adam_tanh_ts10_bench_mt20_nat_sminm15,1,980.66,980.66,409.53,0,0,1.0,423.3,1007616,0.252260684967041,0.1863195925951004,0.12474870681762695,0.13341999053955078,0.0700723469257354,0.014227628707885742,25.17193603515625,14.206799793243407,0.33635446501941213,0.2076432704925537,-0.6971420049667358,0.015571728348731995,0.06165221186487102,0.11460367838541667,0.10406494140625,-0.5391887426376343,0.0,0.0
halfcheetah,pc_actor_critic,halfcheetah_pc_actor_critic_adam_tanh_ts10_bench_mt20_nat_sminm15,2,858.65,858.65,382.33,0,0,1.0,424.7,1007616,0.20790953934192657,0.1637793272733688,0.10989972203969955,0.20189261436462402,0.08087098598480218,0.009327948093414307,28.845542907714844,16.69424591064453,0.2886918269521822,0.09419399499893188,-0.4596036672592163,0.017374739050865173,0.06973734660497757,0.08203125,0.08203125,-0.5555834770202637,0.0,0.0
halfcheetah,pc_actor_critic,halfcheetah_pc_actor_critic_adam_tanh_ts10_bench_mt20_nat_sminm15,3,-297.73,759.47,141.82,1,1,-0.392,425.0,1007616,0.24606086313724518,0.18516244143247604,0.16797944903373718,0.2611514925956726,0.06121510863304128,0.03382474184036255,17.837629318237305,12.718202877044677,0.5389928478535598,0.25059056282043457,-0.8491251468658447,0.0385652557015419,0.20079485813058814,0.14790852864583334,0.14790852864583334,-0.5503289103507996,0.0,0.0
halfcheetah,pc_actor_critic,halfcheetah_pc_actor_critic_sgd_tanh_ts10_bench_lr003_mt80_nat_vlr1e3,1,530.21,797.88,481.31,0,0,0.665,421.9,1007616,0.18980620801448822,0.14593705236911772,0.1207449659705162,0.034499526023864746,0.02120705842971802,0.011722862720489502,26.199155807495117,15.525803279876706,-0.18393882309518209,0.4176257252693176,-1.1260414123535156,0.017620325088500977,0.07405282027099766,0.07210286458333333,0.026224772135416668,-0.6684296131134033,8.138021075865254e-05,0.00032552084303461015
halfcheetah,pc_actor_critic,halfcheetah_pc_actor_critic_sgd_tanh_ts10_bench_lr003_mt80_nat_vlr1e3,2,-34.41,232.18,43.55,0,0,-0.148,414.3,1007616,0.18287386000156403,0.1442725837230682,0.07264228910207748,0.03947734832763672,0.02512879967689514,0.00543588399887085,19.22866439819336,13.319473838806152,-0.516930539433549,-0.8830207586288452,-1.7250092029571533,0.012339970096945763,0.045395113220197784,0.07021077473958333,0.020100911458333332,-0.712702751159668,0.000244140625,0.0
halfcheetah,pc_actor_critic,halfcheetah_pc_actor_critic_sgd_tanh_ts10_bench_lr003_mt80_nat_vlr1e3,3,990.93,990.93,464.85,0,0,1.0,431.5,1007616,0.24258217215538025,0.19845992624759667,0.16429714858531952,0.04573613405227661,0.03596614003181456,0.015847444534301758,23.60308265686035,13.013100433349608,0.005075617534358327,0.561421275138855,-0.5124810934066772,0.03247324749827385,0.11745042117521963,0.07967122395833333,0.06282552083333333,-0.7206853628158569,0.0,0.0
halfcheetah,pc_actor_critic,halfcheetah_pc_actor_critic_sgd_tanh_ts10_bench_lr003_mt80_nat_vlr1e4,1,197.53,823.04,404.85,0,0,0.24,412.4,1007616,0.22508776187896729,0.16256123334169387,0.1725747138261795,0.0337984561920166,0.026147115230560302,0.024265170097351074,21.43205451965332,17.042758178710937,-0.6786239166569904,-0.5479843616485596,-1.2572803497314453,0.033337149769067764,0.12069793234937996,0.07210286458333333,0.036092122395833336,-0.6626908779144287,0.0,0.0005696614971384406
