{'eval/num_episodes': 10, 'eval/mean_score': np.float64(30.0299), 'eval/std_score': np.float64(1.2546), 'eval/mean_episode_length': np.float64(1000.0), 'eval/eval_time': np.float64(52.211)}
{'training/total_steps': 90112, 'training/updates': 11, 'training/walltime': np.float64(99.586), 'training/update_time': np.float64(1.775), 'training/policy_pc_loss': 13.429435729980469, 'training/value_pc_loss': 0.0729803740978241, 'training/mean_value': 0.0048196748830378056, 'training/mean_reward': -0.014733589254319668, 'training/mean_advantage_abs': 0.7971594333648682, 'diag/policy_grad_norm_max': 0.44336268305778503, 'diag/policy_grad_norm_mean': 0.39190787076950073, 'diag/value_explained_var': -0.2780412435531616, 'diag/log_std_mean': -0.5285429954528809, 'diag/log_std_min': -1.0933401584625244, 'diag/frac_std_at_min': 0.0, 'diag/frac_std_at_max': 0.0, 'diag/mu_abs_mean': 0.2531525790691376, 'diag/policy_drift_mean': 0.0003483922628220171, 'diag/policy_drift_max': 0.0028498528990894556, 'diag/policy_kl_mean': 0.09872514009475708, 'diag/policy_kl_max': 0.09873086214065552, 'diag/mu_target_mag_mean': 1.155564785003662, 'diag/mu_target_mag_max': 15.823463439941406, 'diag/pretanh_sat_frac': 0.009073893229166666}
{'training/total_steps': 98304, 'training/updates': 12, 'training/walltime': np.float64(101.088), 'training/update_time': np.float64(1.493), 'training/policy_pc_loss': 17.18585968017578, 'training/value_pc_loss': 0.07203486561775208, 'training/mean_value': 0.0020636776462197304, 'training/mean_reward': -0.016141502186655998, 'training/mean_advantage_abs': 0.7854891419410706, 'diag/policy_grad_norm_max': 0.564156174659729, 'diag/policy_grad_norm_mean': 0.44098296761512756, 'diag/value_explained_var': -0.2417532205581665, 'diag/log_std_mean': -0.6613301038742065, 'diag/log_std_min': -1.2695847749710083, 'diag/frac_std_at_min': 0.0, 'diag/frac_std_at_max': 0.0, 'diag/mu_abs_mean': 0.2506517469882965, 'diag/policy_drift_mean': 0.000452103849966079, 'diag/policy_drift_max': 0.003731967881321907, 'diag/policy_kl_mean': 0.16353186964988708, 'diag/policy_kl_max': 0.16354024410247803, 'diag/mu_target_mag_mean': 1.184114933013916, 'diag/mu_target_mag_max': 29.94521141052246, 'diag/pretanh_sat_frac': 0.007670084635416667}
{'training/total_steps': 106496, 'training/updates': 13, 'training/walltime': np.float64(102.704), 'training/update_time': np.float64(1.608), 'training/policy_pc_loss': 19.39035415649414, 'training/value_pc_loss': 0.065675288438797, 'training/mean_value': 0.002266915049403906, 'training/mean_reward': -0.01416417583823204, 'training/mean_advantage_abs': 0.7935281991958618, 'diag/policy_grad_norm_max': 0.574230432510376, 'diag/policy_grad_norm_mean': 0.4682548940181732, 'diag/value_explained_var': -0.2741403579711914, 'diag/log_std_mean': -0.7378424406051636, 'diag/log_std_min': -1.3198111057281494, 'diag/frac_std_at_min': 0.0, 'diag/frac_std_at_max': 0.0, 'diag/mu_abs_mean': 0.24768978357315063, 'diag/policy_drift_mean': 0.0004572780744638294, 'diag/policy_drift_max': 0.004418238997459412, 'diag/policy_kl_mean': 0.12031958252191544, 'diag/policy_kl_max': 0.120330810546875, 'diag/mu_target_mag_mean': 1.411882758140564, 'diag/mu_target_mag_max': 28.494394302368164, 'diag/pretanh_sat_frac': 0.0023193359375}
{'training/total_steps': 114688, 'training/updates': 14, 'training/walltime': np.float64(104.254), 'training/update_time': np.float64(1.542), 'training/policy_pc_loss': 15.036903381347656, 'training/value_pc_loss': 0.06681178510189056, 'training/mean_value': -0.0021527851931750774, 'training/mean_reward': -0.01485154777765274, 'training/mean_advantage_abs': 0.7888540625572205, 'diag/policy_grad_norm_max': 0.5738591551780701, 'diag/policy_grad_norm_mean': 0.5478256344795227, 'diag/value_explained_var': -0.2645142078399658, 'diag/log_std_mean': -0.7228414416313171, 'diag/log_std_min': -1.3133102655410767, 'diag/frac_std_at_min': 0.0, 'diag/frac_std_at_max': 0.0, 'diag/mu_abs_mean': 0.24128589034080505, 'diag/policy_drift_mean': 0.0008959819097071886, 'diag/policy_drift_max': 0.007776456419378519, 'diag/policy_kl_mean': 0.05374251306056976, 'diag/policy_kl_max': 0.053766846656799316, 'diag/mu_target_mag_mean': 1.486840009689331, 'diag/mu_target_mag_max': 34.431583404541016, 'diag/pretanh_sat_frac': 0.0021158854166666665}
{'training/total_steps': 122880, 'training/updates': 15, 'training/walltime': np.float64(105.768), 'training/update_time': np.float64(1.502), 'training/policy_pc_loss': 23.826379776000977, 'training/value_pc_loss': 0.06897199153900146, 'training/mean_value': -0.0037848397623747587, 'training/mean_reward': -0.016789717599749565, 'training/mean_advantage_abs': 0.8046679496765137, 'diag/policy_grad_norm_max': 0.6056911945343018, 'diag/policy_grad_norm_mean': 0.5208393335342407, 'diag/value_explained_var': -0.21970224380493164, 'diag/log_std_mean': -0.8107280731201172, 'diag/log_std_min': -1.5375823974609375, 'diag/frac_std_at_min': 0.0, 'diag/frac_std_at_max': 0.0, 'diag/mu_abs_mean': 0.2400045096874237, 'diag/policy_drift_mean': 0.0007048595580272377, 'diag/policy_drift_max': 0.007814928889274597, 'diag/policy_kl_mean': 0.11731304973363876, 'diag/policy_kl_max': 0.11735564470291138, 'diag/mu_target_mag_mean': 1.4874910116195679, 'diag/mu_target_mag_max': 28.562480926513672, 'diag/pretanh_sat_frac': 0.0024617513020833335}
{'training/total_steps': 131072, 'training/updates': 16, 'training/walltime': np.float64(107.24), 'training/update_time': np.float64(1.464), 'training/policy_pc_loss': 19.612483978271484, 'training/value_pc_loss': 0.06604772806167603, 'training/mean_value': 0.0003536499571055174, 'training/mean_reward': -0.016282493248581886, 'training/mean_advantage_abs': 0.7975361347198486, 'diag/policy_grad_norm_max': 0.6249902844429016, 'diag/policy_grad_norm_mean': 0.536171555519104, 'diag/value_explained_var': -0.1499568223953247, 'diag/log_std_mean': -0.821790874004364, 'diag/log_std_min': -1.4857327938079834, 'diag/frac_std_at_min': 0.0, 'diag/frac_std_at_max': 0.0, 'diag/mu_abs_mean': 0.23752006888389587, 'diag/policy_drift_mean': 0.0006770920008420944, 'diag/policy_drift_max': 0.007422151044011116, 'diag/policy_kl_mean': 0.05985754728317261, 'diag/policy_kl_max': 0.05988025665283203, 'diag/mu_target_mag_mean': 1.6674588918685913, 'diag/mu_target_mag_max': 28.097436904907227, 'diag/pretanh_sat_frac': 0.0016072591145833333}
{'training/total_steps': 139264, 'training/updates': 17, 'training/walltime': np.float64(108.771), 'training/update_time': np.float64(1.523), 'training/policy_pc_loss': 16.64435577392578, 'training/value_pc_loss': 0.057128600776195526, 'training/mean_value': -0.0034289078321307898, 'training/mean_reward': -0.013100197538733482, 'training/mean_advantage_abs': 0.7948223948478699, 'diag/policy_grad_norm_max': 0.6063651442527771, 'diag/policy_grad_norm_mean': 0.5096462368965149, 'diag/value_explained_var': -0.19944334030151367, 'diag/log_std_mean': -0.8024644255638123, 'diag/log_std_min': -1.2061737775802612, 'diag/frac_std_at_min': 0.0, 'diag/frac_std_at_max': 0.0, 'diag/mu_abs_mean': 0.2393481582403183, 'diag/policy_drift_mean': 0.0006949208909645677, 'diag/policy_drift_max': 0.006760337855666876, 'diag/policy_kl_mean': 0.08440664410591125, 'diag/policy_kl_max': 0.0844191312789917, 'diag/mu_target_mag_mean': 1.6677383184432983, 'diag/mu_target_mag_max': 47.683021545410156, 'diag/pretanh_sat_frac': 0.0023396809895833335}
{'training/total_steps': 147456, 'training/updates': 18, 'training/walltime': np.float64(110.206), 'training/update_time': np.float64(1.427), 'training/policy_pc_loss': 22.346343994140625, 'training/value_pc_loss': 0.06263796985149384, 'training/mean_value': 0.0037533119320869446, 'training/mean_reward': -0.013407925143837929, 'training/mean_advantage_abs': 0.793846607208252, 'diag/policy_grad_norm_max': 0.6003504395484924, 'diag/policy_grad_norm_mean': 0.533984363079071, 'diag/value_explained_var': -0.20528948307037354, 'diag/log_std_mean': -0.8746376037597656, 'diag/log_std_min': -1.3192152976989746, 'diag/frac_std_at_min': 0.0, 'diag/frac_std_at_max': 0.0, 'diag/mu_abs_mean': 0.24180105328559875, 'diag/policy_drift_mean': 0.0006716256029903889, 'diag/policy_drift_max': 0.003956015221774578, 'diag/policy_kl_mean': 0.1456114947795868, 'diag/policy_kl_max': 0.14562153816223145, 'diag/mu_target_mag_mean': 1.5463314056396484, 'diag/mu_target_mag_max': 23.132511138916016, 'diag/pretanh_sat_frac': 0.0014444986979166667}
{'training/total_steps': 155648, 'training/updates': 19, 'training/walltime': np.float64(111.614), 'training/update_time': np.float64(1.402), 'training/policy_pc_loss': 20.585628509521484, 'training/value_pc_loss': 0.06880926340818405, 'training/mean_value': 0.01073663029819727, 'training/mean_reward': -0.015790387988090515, 'training/mean_advantage_abs': 0.7999830842018127, 'diag/policy_grad_norm_max': 0.5947388410568237, 'diag/policy_grad_norm_mean': 0.5077639222145081, 'diag/value_explained_var': -0.08704960346221924, 'diag/log_std_mean': -0.8406723737716675, 'diag/log_std_min': -1.3646724224090576, 'diag/frac_std_at_min': 0.0, 'diag/frac_std_at_max': 0.0, 'diag/mu_abs_mean': 0.24712729454040527, 'diag/policy_drift_mean': 0.0006230311118997633, 'diag/policy_drift_max': 0.004831499885767698, 'diag/policy_kl_mean': 0.02471897564828396, 'diag/policy_kl_max': 0.024730980396270752, 'diag/mu_target_mag_mean': 1.709637999534607, 'diag/mu_target_mag_max': 21.822891235351562, 'diag/pretanh_sat_frac': 0.0036214192708333335}
{'training/total_steps': 163840, 'training/updates': 20, 'training/walltime': np.float64(112.996), 'training/update_time': np.float64(1.375), 'training/policy_pc_loss': 21.44908905029297, 'training/value_pc_loss': 0.05626743286848068, 'training/mean_value': 0.006556752137839794, 'training/mean_reward': -0.01297722291201353, 'training/mean_advantage_abs': 0.7975997924804688, 'diag/policy_grad_norm_max': 0.573203980922699, 'diag/policy_grad_norm_mean': 0.5045339465141296, 'diag/value_explained_var': -0.14262688159942627, 'diag/log_std_mean': -0.8115042448043823, 'diag/log_std_min': -1.2317726612091064, 'diag/frac_std_at_min': 0.0, 'diag/frac_std_at_max': 0.0, 'diag/mu_abs_mean': 0.24901527166366577, 'diag/policy_drift_mean': 0.000724567100405693, 'diag/policy_drift_max': 0.004508886020630598, 'diag/policy_kl_mean': 0.08040980994701385, 'diag/policy_kl_max': 0.08041644096374512, 'diag/mu_target_mag_mean': 1.6540735960006714, 'diag/mu_target_mag_max': 31.952157974243164, 'diag/pretanh_sat_frac': 0.004740397135416667}
{'eval/num_episodes': 10, 'eval/mean_score': np.float64(-46.3239), 'eval/std_score': np.float64(2.7142), 'eval/mean_episode_length': np.float64(1000.0), 'eval/eval_time': np.float64(20.651)}
{'training/total_steps': 172032, 'training/updates': 21, 'training/walltime': np.float64(135.299), 'training/update_time': np.float64(1.639), 'training/policy_pc_loss': 21.371509552001953, 'training/value_pc_loss': 0.059967637062072754, 'training/mean_value': 0.014560205861926079, 'training/mean_reward': -0.012822423130273819, 'training/mean_advantage_abs': 0.8011851906776428, 'diag/policy_grad_norm_max': 0.6012351512908936, 'diag/policy_grad_norm_mean': 0.5385280847549438, 'diag/value_explained_var': -0.03843855857849121, 'diag/log_std_mean': -0.8260263204574585, 'diag/log_std_min': -1.2473630905151367, 'diag/frac_std_at_min': 0.0, 'diag/frac_std_at_max': 0.0, 'diag/mu_abs_mean': 0.2525169551372528, 'diag/policy_drift_mean': 0.0005874314811080694, 'diag/policy_drift_max': 0.004654419142752886, 'diag/policy_kl_mean': 0.05873339995741844, 'diag/policy_kl_max': 0.058747172355651855, 'diag/mu_target_mag_mean': 1.6991462707519531, 'diag/mu_target_mag_max': 25.64690399169922, 'diag/pretanh_sat_frac': 0.01123046875}
{'training/total_steps': 180224, 'training/updates': 22, 'training/walltime': np.float64(137.092), 'training/update_time': np.float64(1.786), 'training/policy_pc_loss': 33.95830535888672, 'training/value_pc_loss': 0.06675274670124054, 'training/mean_value': 0.019563790410757065, 'training/mean_reward': -0.012647504918277264, 'training/mean_advantage_abs': 0.7972578406333923, 'diag/policy_grad_norm_max': 0.8708393573760986, 'diag/policy_grad_norm_mean': 0.5738824605941772, 'diag/value_explained_var': -0.09659862518310547, 'diag/log_std_mean': -0.8784505724906921, 'diag/log_std_min': -1.459344506263733, 'diag/frac_std_at_min': 0.0, 'diag/frac_std_at_max': 0.0, 'diag/mu_abs_mean': 0.25192293524742126, 'diag/policy_drift_mean': 0.0007031573913991451, 'diag/policy_drift_max': 0.006501458585262299, 'diag/policy_kl_mean': 0.13124936819076538, 'diag/policy_kl_max': 0.1312817931175232, 'diag/mu_target_mag_mean': 1.7276338338851929, 'diag/mu_target_mag_max': 28.438936233520508, 'diag/pretanh_sat_frac': 0.017415364583333332}
{'training/total_steps': 188416, 'training/updates': 23, 'training/walltime': np.float64(138.414), 'training/update_time': np.float64(1.314), 'training/policy_pc_loss': 32.621055603027344, 'training/value_pc_loss': 0.06800692528486252, 'training/mean_value': 0.010700814425945282, 'training/mean_reward': -0.014271242544054985, 'training/mean_advantage_abs': 0.801465630531311, 'diag/policy_grad_norm_max': 0.9151507019996643, 'diag/policy_grad_norm_mean': 0.6393011808395386, 'diag/value_explained_var': -0.05288970470428467, 'diag/log_std_mean': -0.8260213732719421, 'diag/log_std_min': -1.6718262434005737, 'diag/frac_std_at_min': 0.0, 'diag/frac_std_at_max': 0.0, 'diag/mu_abs_mean': 0.25154462456703186, 'diag/policy_drift_mean': 0.0010514436289668083, 'diag/policy_drift_max': 0.010835614055395126, 'diag/policy_kl_mean': 0.17483824491500854, 'diag/policy_kl_max': 0.1749175786972046, 'diag/mu_target_mag_mean': 1.9204165935516357, 'diag/mu_target_mag_max': 38.22551727294922, 'diag/pretanh_sat_frac': 0.01806640625}
