{'eval/num_episodes': 10, 'eval/mean_score': np.float64(-9.977), 'eval/std_score': np.float64(0.8864), 'eval/mean_episode_length': np.float64(1000.0), 'eval/eval_time': np.float64(47.299)}
{'training/total_steps': 90112, 'training/updates': 11, 'training/walltime': np.float64(93.736), 'training/update_time': np.float64(1.53), 'training/policy_pc_loss': 16.421228408813477, 'training/value_pc_loss': 0.042740486562252045, 'training/mean_value': -0.06949061900377274, 'training/mean_reward': -0.012079164385795593, 'training/mean_advantage_abs': 0.7822161316871643, 'diag/policy_grad_norm_max': 0.5419628620147705, 'diag/policy_grad_norm_mean': 0.46928519010543823, 'diag/value_explained_var': -0.5282497406005859, 'diag/log_std_mean': -0.6711346507072449, 'diag/log_std_min': -1.0539753437042236, 'diag/frac_std_at_min': 0.0, 'diag/frac_std_at_max': 0.0, 'diag/mu_abs_mean': 0.2255946397781372, 'diag/policy_drift_mean': 0.0005540635902434587, 'diag/policy_drift_max': 0.0029427853878587484, 'diag/policy_kl_mean': 0.1127871423959732, 'diag/policy_kl_max': 0.11279237270355225, 'diag/mu_target_mag_mean': 1.2932121753692627, 'diag/mu_target_mag_max': 23.39353370666504, 'diag/pretanh_sat_frac': 0.005330403645833333}
{'training/total_steps': 98304, 'training/updates': 12, 'training/walltime': np.float64(95.499), 'training/update_time': np.float64(1.729), 'training/policy_pc_loss': 27.86568832397461, 'training/value_pc_loss': 0.04098522663116455, 'training/mean_value': -0.07507328689098358, 'training/mean_reward': -0.01199336163699627, 'training/mean_advantage_abs': 0.7824602127075195, 'diag/policy_grad_norm_max': 0.7112634181976318, 'diag/policy_grad_norm_mean': 0.5615657567977905, 'diag/value_explained_var': -0.44518351554870605, 'diag/log_std_mean': -0.8253260850906372, 'diag/log_std_min': -1.330911636352539, 'diag/frac_std_at_min': 0.0, 'diag/frac_std_at_max': 0.0, 'diag/mu_abs_mean': 0.22946135699748993, 'diag/policy_drift_mean': 0.0005652369000017643, 'diag/policy_drift_max': 0.0031015367712825537, 'diag/policy_kl_mean': 0.3965744376182556, 'diag/policy_kl_max': 0.39658045768737793, 'diag/mu_target_mag_mean': 1.3931983709335327, 'diag/mu_target_mag_max': 33.42302703857422, 'diag/pretanh_sat_frac': 0.004170735677083333}
{'training/total_steps': 106496, 'training/updates': 13, 'training/walltime': np.float64(97.084), 'training/update_time': np.float64(1.575), 'training/policy_pc_loss': 21.758277893066406, 'training/value_pc_loss': 0.03168099373579025, 'training/mean_value': -0.06605630367994308, 'training/mean_reward': -0.009525537490844727, 'training/mean_advantage_abs': 0.7880604863166809, 'diag/policy_grad_norm_max': 0.6077886819839478, 'diag/policy_grad_norm_mean': 0.5133040547370911, 'diag/value_explained_var': -0.4711792469024658, 'diag/log_std_mean': -0.8443735837936401, 'diag/log_std_min': -1.2292609214782715, 'diag/frac_std_at_min': 0.0, 'diag/frac_std_at_max': 0.0, 'diag/mu_abs_mean': 0.22259758412837982, 'diag/policy_drift_mean': 0.000666914856992662, 'diag/policy_drift_max': 0.004668126348406076, 'diag/policy_kl_mean': 0.043065715581178665, 'diag/policy_kl_max': 0.043074727058410645, 'diag/mu_target_mag_mean': 1.6464500427246094, 'diag/mu_target_mag_max': 35.54584503173828, 'diag/pretanh_sat_frac': 0.0016072591145833333}
{'training/total_steps': 114688, 'training/updates': 14, 'training/walltime': np.float64(98.777), 'training/update_time': np.float64(1.686), 'training/policy_pc_loss': 38.267906188964844, 'training/value_pc_loss': 0.03375624865293503, 'training/mean_value': -0.06987014412879944, 'training/mean_reward': -0.008762603625655174, 'training/mean_advantage_abs': 0.7834948301315308, 'diag/policy_grad_norm_max': 0.7833737134933472, 'diag/policy_grad_norm_mean': 0.6137744188308716, 'diag/value_explained_var': -0.5420252084732056, 'diag/log_std_mean': -0.9166387319564819, 'diag/log_std_min': -1.4569467306137085, 'diag/frac_std_at_min': 0.0, 'diag/frac_std_at_max': 0.0, 'diag/mu_abs_mean': 0.21953360736370087, 'diag/policy_drift_mean': 0.0008600056171417236, 'diag/policy_drift_max': 0.005555367562919855, 'diag/policy_kl_mean': 0.5276663303375244, 'diag/policy_kl_max': 0.5276935696601868, 'diag/mu_target_mag_mean': 1.6818898916244507, 'diag/mu_target_mag_max': 37.01606750488281, 'diag/pretanh_sat_frac': 0.0012410481770833333}
{'training/total_steps': 122880, 'training/updates': 15, 'training/walltime': np.float64(100.591), 'training/update_time': np.float64(1.806), 'training/policy_pc_loss': 35.68641662597656, 'training/value_pc_loss': 0.03232590854167938, 'training/mean_value': -0.06299422681331635, 'training/mean_reward': -0.009380558505654335, 'training/mean_advantage_abs': 0.7797540426254272, 'diag/policy_grad_norm_max': 0.7155748009681702, 'diag/policy_grad_norm_mean': 0.6495203375816345, 'diag/value_explained_var': -0.5296075344085693, 'diag/log_std_mean': -1.020819902420044, 'diag/log_std_min': -1.5423405170440674, 'diag/frac_std_at_min': 0.0, 'diag/frac_std_at_max': 0.0, 'diag/mu_abs_mean': 0.22408483922481537, 'diag/policy_drift_mean': 0.0008953699143603444, 'diag/policy_drift_max': 0.005500280298292637, 'diag/policy_kl_mean': 0.1780034899711609, 'diag/policy_kl_max': 0.178026020526886, 'diag/mu_target_mag_mean': 1.8834295272827148, 'diag/mu_target_mag_max': 38.51081085205078, 'diag/pretanh_sat_frac': 0.0033365885416666665}
{'training/total_steps': 131072, 'training/updates': 16, 'training/walltime': np.float64(102.284), 'training/update_time': np.float64(1.684), 'training/policy_pc_loss': 61.690921783447266, 'training/value_pc_loss': 0.024892285466194153, 'training/mean_value': -0.06217474490404129, 'training/mean_reward': -0.008735083043575287, 'training/mean_advantage_abs': 0.7856781482696533, 'diag/policy_grad_norm_max': 0.9317261576652527, 'diag/policy_grad_norm_mean': 0.7365888357162476, 'diag/value_explained_var': -0.607907772064209, 'diag/log_std_mean': -1.2291984558105469, 'diag/log_std_min': -1.7544869184494019, 'diag/frac_std_at_min': 0.0, 'diag/frac_std_at_max': 0.0, 'diag/mu_abs_mean': 0.21129664778709412, 'diag/policy_drift_mean': 0.0014471616595983505, 'diag/policy_drift_max': 0.007913928478956223, 'diag/policy_kl_mean': 1.315697193145752, 'diag/policy_kl_max': 1.315743327140808, 'diag/mu_target_mag_mean': 2.0112547874450684, 'diag/mu_target_mag_max': 35.39822006225586, 'diag/pretanh_sat_frac': 0.0011189778645833333}
{'training/total_steps': 139264, 'training/updates': 17, 'training/walltime': np.float64(104.029), 'training/update_time': np.float64(1.731), 'training/policy_pc_loss': 57.47394943237305, 'training/value_pc_loss': 0.02076304517686367, 'training/mean_value': -0.06598338484764099, 'training/mean_reward': -0.0032323640771210194, 'training/mean_advantage_abs': 0.7835596203804016, 'diag/policy_grad_norm_max': 0.9142982363700867, 'diag/policy_grad_norm_mean': 0.8015709519386292, 'diag/value_explained_var': -0.569115400314331, 'diag/log_std_mean': -1.254291296005249, 'diag/log_std_min': -1.81826913356781, 'diag/frac_std_at_min': 0.0, 'diag/frac_std_at_max': 0.0, 'diag/mu_abs_mean': 0.20429947972297668, 'diag/policy_drift_mean': 0.0022853929549455643, 'diag/policy_drift_max': 0.01100129447877407, 'diag/policy_kl_mean': 0.04878232255578041, 'diag/policy_kl_max': 0.048845648765563965, 'diag/mu_target_mag_mean': 2.3437116146087646, 'diag/mu_target_mag_max': 47.40619659423828, 'diag/pretanh_sat_frac': 0.0002644856770833333}
{'training/total_steps': 147456, 'training/updates': 18, 'training/walltime': np.float64(105.544), 'training/update_time': np.float64(1.498), 'training/policy_pc_loss': 50.86860656738281, 'training/value_pc_loss': 0.02094682864844799, 'training/mean_value': -0.06145454943180084, 'training/mean_reward': -0.0022539233323186636, 'training/mean_advantage_abs': 0.7793850898742676, 'diag/policy_grad_norm_max': 1.0456427335739136, 'diag/policy_grad_norm_mean': 0.8700250387191772, 'diag/value_explained_var': -0.6047760248184204, 'diag/log_std_mean': -1.2763774394989014, 'diag/log_std_min': -1.7491029500961304, 'diag/frac_std_at_min': 0.0, 'diag/frac_std_at_max': 0.0, 'diag/mu_abs_mean': 0.2002396285533905, 'diag/policy_drift_mean': 0.002145123668015003, 'diag/policy_drift_max': 0.01316647045314312, 'diag/policy_kl_mean': 0.06209062039852142, 'diag/policy_kl_max': 0.062187910079956055, 'diag/mu_target_mag_mean': 2.399353504180908, 'diag/mu_target_mag_max': 49.883689880371094, 'diag/pretanh_sat_frac': 0.0007731119791666666}
{'training/total_steps': 155648, 'training/updates': 19, 'training/walltime': np.float64(107.037), 'training/update_time': np.float64(1.48), 'training/policy_pc_loss': 56.44356918334961, 'training/value_pc_loss': 0.018543019890785217, 'training/mean_value': -0.06154429912567139, 'training/mean_reward': -0.0018228560220450163, 'training/mean_advantage_abs': 0.7909998893737793, 'diag/policy_grad_norm_max': 0.8848973512649536, 'diag/policy_grad_norm_mean': 0.7756885886192322, 'diag/value_explained_var': -0.7088724374771118, 'diag/log_std_mean': -1.3106659650802612, 'diag/log_std_min': -1.8389482498168945, 'diag/frac_std_at_min': 0.0, 'diag/frac_std_at_max': 0.0, 'diag/mu_abs_mean': 0.1993969976902008, 'diag/policy_drift_mean': 0.0018860262352973223, 'diag/policy_drift_max': 0.013978982344269753, 'diag/policy_kl_mean': 0.03947998210787773, 'diag/policy_kl_max': 0.039617300033569336, 'diag/mu_target_mag_mean': 2.463000774383545, 'diag/mu_target_mag_max': 42.73759460449219, 'diag/pretanh_sat_frac': 0.00010172526041666667}
{'training/total_steps': 163840, 'training/updates': 20, 'training/walltime': np.float64(108.473), 'training/update_time': np.float64(1.422), 'training/policy_pc_loss': 58.03492736816406, 'training/value_pc_loss': 0.018824378028512, 'training/mean_value': -0.06225476413965225, 'training/mean_reward': -0.0009184256778098643, 'training/mean_advantage_abs': 0.7864120006561279, 'diag/policy_grad_norm_max': 1.019165277481079, 'diag/policy_grad_norm_mean': 0.8692352771759033, 'diag/value_explained_var': -0.5411354303359985, 'diag/log_std_mean': -1.3634275197982788, 'diag/log_std_min': -1.7824279069900513, 'diag/frac_std_at_min': 0.0, 'diag/frac_std_at_max': 0.0, 'diag/mu_abs_mean': 0.1997489035129547, 'diag/policy_drift_mean': 0.0023057409562170506, 'diag/policy_drift_max': 0.010256828740239143, 'diag/policy_kl_mean': 0.08647528290748596, 'diag/policy_kl_max': 0.08661067485809326, 'diag/mu_target_mag_mean': 2.5638535022735596, 'diag/mu_target_mag_max': 55.661529541015625, 'diag/pretanh_sat_frac': 4.0690104166666664e-05}
{'eval/num_episodes': 10, 'eval/mean_score': np.float64(-10.4842), 'eval/std_score': np.float64(0.955), 'eval/mean_episode_length': np.float64(1000.0), 'eval/eval_time': np.float64(17.826)}
{'training/total_steps': 172032, 'training/updates': 21, 'training/walltime': np.float64(128.005), 'training/update_time': np.float64(1.695), 'training/policy_pc_loss': 74.2979965209961, 'training/value_pc_loss': 0.019493233412504196, 'training/mean_value': -0.05924069136381149, 'training/mean_reward': 0.0006178165785968304, 'training/mean_advantage_abs': 0.7856346368789673, 'diag/policy_grad_norm_max': 1.0221179723739624, 'diag/policy_grad_norm_mean': 0.8772755265235901, 'diag/value_explained_var': -0.5318942070007324, 'diag/log_std_mean': -1.438881278038025, 'diag/log_std_min': -1.793757677078247, 'diag/frac_std_at_min': 0.0, 'diag/frac_std_at_max': 0.0, 'diag/mu_abs_mean': 0.19932489097118378, 'diag/policy_drift_mean': 0.0022607380524277687, 'diag/policy_drift_max': 0.014869986101984978, 'diag/policy_kl_mean': 0.17341747879981995, 'diag/policy_kl_max': 0.17354822158813477, 'diag/mu_target_mag_mean': 2.711559772491455, 'diag/mu_target_mag_max': 52.787384033203125, 'diag/pretanh_sat_frac': 2.0345052083333332e-05}
{'training/total_steps': 180224, 'training/updates': 22, 'training/walltime': np.float64(129.556), 'training/update_time': np.float64(1.541), 'training/policy_pc_loss': 100.53755187988281, 'training/value_pc_loss': 0.018222935497760773, 'training/mean_value': -0.05940236896276474, 'training/mean_reward': 0.0014266700018197298, 'training/mean_advantage_abs': 0.7812385559082031, 'diag/policy_grad_norm_max': 1.5134721994400024, 'diag/policy_grad_norm_mean': 1.0327261686325073, 'diag/value_explained_var': -0.49069082736968994, 'diag/log_std_mean': -1.5126937627792358, 'diag/log_std_min': -1.977820634841919, 'diag/frac_std_at_min': 0.0, 'diag/frac_std_at_max': 0.0, 'diag/mu_abs_mean': 0.19497475028038025, 'diag/policy_drift_mean': 0.0020983933936804533, 'diag/policy_drift_max': 0.017903676256537437, 'diag/policy_kl_mean': 0.13891810178756714, 'diag/policy_kl_max': 0.13911879062652588, 'diag/mu_target_mag_mean': 2.8296871185302734, 'diag/mu_target_mag_max': 65.5880126953125, 'diag/pretanh_sat_frac': 0.0}
{'training/total_steps': 188416, 'training/updates': 23, 'training/walltime': np.float64(131.23), 'training/update_time': np.float64(1.664), 'training/policy_pc_loss': 94.24302673339844, 'training/value_pc_loss': 0.019411232322454453, 'training/mean_value': -0.05987584590911865, 'training/mean_reward': 0.0035447438713163137, 'training/mean_advantage_abs': 0.7799278497695923, 'diag/policy_grad_norm_max': 1.3216934204101562, 'diag/policy_grad_norm_mean': 1.153523564338684, 'diag/value_explained_var': -0.34626877307891846, 'diag/log_std_mean': -1.5395162105560303, 'diag/log_std_min': -2.0, 'diag/frac_std_at_min': 0.1666666716337204, 'diag/frac_std_at_max': 0.0, 'diag/mu_abs_mean': 0.19880029559135437, 'diag/policy_drift_mean': 0.003790907561779022, 'diag/policy_drift_max': 0.024906402453780174, 'diag/policy_kl_mean': 0.04828030616044998, 'diag/policy_kl_max': 0.04858356714248657, 'diag/mu_target_mag_mean': 3.170280933380127, 'diag/mu_target_mag_max': 72.04491424560547, 'diag/pretanh_sat_frac': 0.0}
