{'training/total_steps': 393216, 'training/updates': 12, 'training/sps': np.float64(41493.072), 'training/walltime': np.float64(51.142), 'training/rollout_time': np.float64(0.754), 'training/update_time': np.float64(0.035), 'training/iterations': 1.0, 'training/kl_div': 0.00668712705373764, 'training/line_search_success': 1.0, 'training/new_policy_objective': 0.017245253548026085, 'training/policy_objective': -1.0095536708831787e-06, 'training/value_loss': 0.1882842779159546}
{'training/total_steps': 425984, 'training/updates': 13, 'training/sps': np.float64(41616.413), 'training/walltime': np.float64(51.931), 'training/rollout_time': np.float64(0.756), 'training/update_time': np.float64(0.032), 'training/iterations': 1.0, 'training/kl_div': 0.006705588195472956, 'training/line_search_success': 1.0, 'training/new_policy_objective': 0.018011553213000298, 'training/policy_objective': 2.3110187612473965e-06, 'training/value_loss': 0.1920032799243927}
{'training/total_steps': 458752, 'training/updates': 14, 'training/sps': np.float64(42423.005), 'training/walltime': np.float64(52.705), 'training/rollout_time': np.float64(0.739), 'training/update_time': np.float64(0.034), 'training/iterations': 1.0, 'training/kl_div': 0.006453319918364286, 'training/line_search_success': 1.0, 'training/new_policy_objective': 0.01761276088654995, 'training/policy_objective': -2.3562461137771606e-07, 'training/value_loss': 0.17503543198108673}
{'training/total_steps': 491520, 'training/updates': 15, 'training/sps': np.float64(41631.654), 'training/walltime': np.float64(53.493), 'training/rollout_time': np.float64(0.754), 'training/update_time': np.float64(0.033), 'training/iterations': 1.0, 'training/kl_div': 0.006692354567348957, 'training/line_search_success': 1.0, 'training/new_policy_objective': 0.018141454085707664, 'training/policy_objective': -2.8032809495925903e-07, 'training/value_loss': 0.1748826950788498}
{'training/total_steps': 524288, 'training/updates': 16, 'training/sps': np.float64(41673.033), 'training/walltime': np.float64(54.28), 'training/rollout_time': np.float64(0.753), 'training/update_time': np.float64(0.033), 'training/iterations': 1.0, 'training/kl_div': 0.0062410165555775166, 'training/line_search_success': 1.0, 'training/new_policy_objective': 0.017725471407175064, 'training/policy_objective': -2.7604401111602783e-06, 'training/value_loss': 0.1677146703004837}
{'training/total_steps': 557056, 'training/updates': 17, 'training/sps': np.float64(41445.637), 'training/walltime': np.float64(55.072), 'training/rollout_time': np.float64(0.757), 'training/update_time': np.float64(0.033), 'training/iterations': 1.0, 'training/kl_div': 0.0062059760093688965, 'training/line_search_success': 1.0, 'training/new_policy_objective': 0.017558787018060684, 'training/policy_objective': 3.427267074584961e-07, 'training/value_loss': 0.1858016550540924}
{'training/total_steps': 589824, 'training/updates': 18, 'training/sps': np.float64(42325.739), 'training/walltime': np.float64(55.848), 'training/rollout_time': np.float64(0.742), 'training/update_time': np.float64(0.032), 'training/iterations': 1.0, 'training/kl_div': 0.00609746016561985, 'training/line_search_success': 1.0, 'training/new_policy_objective': 0.017954695969820023, 'training/policy_objective': -2.6673078536987305e-06, 'training/value_loss': 0.16862013936042786}
{'training/total_steps': 622592, 'training/updates': 19, 'training/sps': np.float64(41556.052), 'training/walltime': np.float64(56.637), 'training/rollout_time': np.float64(0.754), 'training/update_time': np.float64(0.035), 'training/iterations': 1.0, 'training/kl_div': 0.005717265419661999, 'training/line_search_success': 1.0, 'training/new_policy_objective': 0.017716802656650543, 'training/policy_objective': -1.166015863418579e-06, 'training/value_loss': 0.15344561636447906}
{'training/total_steps': 655360, 'training/updates': 20, 'training/sps': np.float64(41605.591), 'training/walltime': np.float64(57.426), 'training/rollout_time': np.float64(0.756), 'training/update_time': np.float64(0.032), 'training/iterations': 1.0, 'training/kl_div': 0.005735356360673904, 'training/line_search_success': 1.0, 'training/new_policy_objective': 0.01798904314637184, 'training/policy_objective': -1.3515818864107132e-06, 'training/value_loss': 0.1620480716228485}
{'training/total_steps': 688128, 'training/updates': 21, 'training/sps': np.float64(40942.7), 'training/walltime': np.float64(58.227), 'training/rollout_time': np.float64(0.767), 'training/update_time': np.float64(0.033), 'training/iterations': 1.0, 'training/kl_div': 0.005893417168408632, 'training/line_search_success': 1.0, 'training/new_policy_objective': 0.018412087112665176, 'training/policy_objective': 1.261010766029358e-06, 'training/value_loss': 0.1779807060956955}
{'training/total_steps': 720896, 'training/updates': 22, 'training/sps': np.float64(41239.608), 'training/walltime': np.float64(59.024), 'training/rollout_time': np.float64(0.762), 'training/update_time': np.float64(0.033), 'training/iterations': 1.0, 'training/kl_div': 0.005765801295638084, 'training/line_search_success': 1.0, 'training/new_policy_objective': 0.0186914075165987, 'training/policy_objective': -1.7692800611257553e-06, 'training/value_loss': 0.15773490071296692}
