{'training/total_steps': 245760, 'training/updates': 12, 'training/sps': np.float64(29447.839), 'training/walltime': np.float64(41.074), 'training/rollout_time': np.float64(0.645), 'training/update_time': np.float64(0.051), 'training/approx_kl': 0.008086515590548515, 'training/entropy': 5.204571723937988, 'training/entropy_loss': 0.0, 'training/policy_loss': -0.006035616621375084, 'training/total_loss': 0.05374833568930626, 'training/value_loss': 0.059783950448036194}
{'training/total_steps': 266240, 'training/updates': 13, 'training/sps': np.float64(29629.486), 'training/walltime': np.float64(41.767), 'training/rollout_time': np.float64(0.642), 'training/update_time': np.float64(0.049), 'training/approx_kl': 0.008168378844857216, 'training/entropy': 5.169536590576172, 'training/entropy_loss': 0.0, 'training/policy_loss': -0.005645126570016146, 'training/total_loss': 0.05911318585276604, 'training/value_loss': 0.0647583156824112}
{'training/total_steps': 286720, 'training/updates': 14, 'training/sps': np.float64(29631.172), 'training/walltime': np.float64(42.459), 'training/rollout_time': np.float64(0.643), 'training/update_time': np.float64(0.048), 'training/approx_kl': 0.008404195308685303, 'training/entropy': 5.126114845275879, 'training/entropy_loss': 0.0, 'training/policy_loss': -0.005008529406040907, 'training/total_loss': 0.05889023095369339, 'training/value_loss': 0.06389875710010529}
{'training/total_steps': 307200, 'training/updates': 15, 'training/sps': np.float64(30828.417), 'training/walltime': np.float64(43.125), 'training/rollout_time': np.float64(0.615), 'training/update_time': np.float64(0.049), 'training/approx_kl': 0.008228656835854053, 'training/entropy': 5.0985307693481445, 'training/entropy_loss': 0.0, 'training/policy_loss': -0.005058507900685072, 'training/total_loss': 0.057552486658096313, 'training/value_loss': 0.06261099874973297}
{'training/total_steps': 327680, 'training/updates': 16, 'training/sps': np.float64(19891.443), 'training/walltime': np.float64(44.156), 'training/rollout_time': np.float64(0.98), 'training/update_time': np.float64(0.049), 'training/approx_kl': 0.008507666178047657, 'training/entropy': 5.0651631355285645, 'training/entropy_loss': 0.0, 'training/policy_loss': -0.005991824436932802, 'training/total_loss': 0.05234953761100769, 'training/value_loss': 0.05834135785698891}
{'training/total_steps': 348160, 'training/updates': 17, 'training/sps': np.float64(30122.344), 'training/walltime': np.float64(44.837), 'training/rollout_time': np.float64(0.63), 'training/update_time': np.float64(0.05), 'training/approx_kl': 0.007928605191409588, 'training/entropy': 5.038097858428955, 'training/entropy_loss': 0.0, 'training/policy_loss': -0.0038256351836025715, 'training/total_loss': 0.05537692457437515, 'training/value_loss': 0.05920255929231644}
{'training/total_steps': 368640, 'training/updates': 18, 'training/sps': np.float64(28600.377), 'training/walltime': np.float64(45.554), 'training/rollout_time': np.float64(0.664), 'training/update_time': np.float64(0.052), 'training/approx_kl': 0.008859870955348015, 'training/entropy': 4.9990644454956055, 'training/entropy_loss': 0.0, 'training/policy_loss': -0.005908339284360409, 'training/total_loss': 0.057050250470638275, 'training/value_loss': 0.06295858323574066}
{'training/total_steps': 389120, 'training/updates': 19, 'training/sps': np.float64(29899.176), 'training/walltime': np.float64(46.24), 'training/rollout_time': np.float64(0.635), 'training/update_time': np.float64(0.05), 'training/approx_kl': 0.008525915443897247, 'training/entropy': 4.976753234863281, 'training/entropy_loss': 0.0, 'training/policy_loss': -0.005849418230354786, 'training/total_loss': 0.05596746504306793, 'training/value_loss': 0.06181688606739044}
{'training/total_steps': 409600, 'training/updates': 20, 'training/sps': np.float64(30452.392), 'training/walltime': np.float64(46.914), 'training/rollout_time': np.float64(0.623), 'training/update_time': np.float64(0.05), 'training/approx_kl': 0.009066886268556118, 'training/entropy': 4.938252925872803, 'training/entropy_loss': 0.0, 'training/policy_loss': -0.005380269140005112, 'training/total_loss': 0.059192802757024765, 'training/value_loss': 0.06457306444644928}
{'training/total_steps': 430080, 'training/updates': 21, 'training/sps': np.float64(28388.642), 'training/walltime': np.float64(47.637), 'training/rollout_time': np.float64(0.672), 'training/update_time': np.float64(0.05), 'training/approx_kl': 0.0087306909263134, 'training/entropy': 4.919522285461426, 'training/entropy_loss': 0.0, 'training/policy_loss': -0.005763051100075245, 'training/total_loss': 0.05380313843488693, 'training/value_loss': 0.0595661923289299}
{'training/total_steps': 450560, 'training/updates': 22, 'training/sps': np.float64(29403.376), 'training/walltime': np.float64(48.335), 'training/rollout_time': np.float64(0.646), 'training/update_time': np.float64(0.05), 'training/approx_kl': 0.008980765007436275, 'training/entropy': 4.906505584716797, 'training/entropy_loss': 0.0, 'training/policy_loss': -0.006248936522752047, 'training/total_loss': 0.05152053013443947, 'training/value_loss': 0.057769469916820526}
