{'training/total_steps': 393216, 'training/updates': 12, 'training/sps': np.float64(39340.648), 'training/walltime': np.float64(51.496), 'training/rollout_time': np.float64(0.797), 'training/update_time': np.float64(0.036), 'training/iterations': 1.0, 'training/kl_div': 0.006922471337020397, 'training/line_search_success': 1.0, 'training/new_policy_objective': 0.017552657052874565, 'training/policy_objective': 1.576961949467659e-06, 'training/value_loss': 0.1554141491651535}
{'training/total_steps': 425984, 'training/updates': 13, 'training/sps': np.float64(40117.608), 'training/walltime': np.float64(52.315), 'training/rollout_time': np.float64(0.784), 'training/update_time': np.float64(0.033), 'training/iterations': 1.0, 'training/kl_div': 0.0065386490896344185, 'training/line_search_success': 1.0, 'training/new_policy_objective': 0.017274023965001106, 'training/policy_objective': -8.279457688331604e-07, 'training/value_loss': 0.1647292971611023}
{'training/total_steps': 458752, 'training/updates': 14, 'training/sps': np.float64(41219.312), 'training/walltime': np.float64(53.111), 'training/rollout_time': np.float64(0.761), 'training/update_time': np.float64(0.034), 'training/iterations': 1.0, 'training/kl_div': 0.006453788839280605, 'training/line_search_success': 1.0, 'training/new_policy_objective': 0.01703859120607376, 'training/policy_objective': 1.3597309589385986e-07, 'training/value_loss': 0.16683489084243774}
{'training/total_steps': 491520, 'training/updates': 15, 'training/sps': np.float64(41454.212), 'training/walltime': np.float64(53.903), 'training/rollout_time': np.float64(0.757), 'training/update_time': np.float64(0.033), 'training/iterations': 1.0, 'training/kl_div': 0.006341828964650631, 'training/line_search_success': 1.0, 'training/new_policy_objective': 0.017492469400167465, 'training/policy_objective': -1.2461096048355103e-06, 'training/value_loss': 0.16281427443027496}
{'training/total_steps': 524288, 'training/updates': 16, 'training/sps': np.float64(40803.256), 'training/walltime': np.float64(54.708), 'training/rollout_time': np.float64(0.769), 'training/update_time': np.float64(0.034), 'training/iterations': 1.0, 'training/kl_div': 0.006143227219581604, 'training/line_search_success': 1.0, 'training/new_policy_objective': 0.017680097371339798, 'training/policy_objective': 2.620276063680649e-06, 'training/value_loss': 0.1591125726699829}
{'training/total_steps': 557056, 'training/updates': 17, 'training/sps': np.float64(40949.934), 'training/walltime': np.float64(55.509), 'training/rollout_time': np.float64(0.77), 'training/update_time': np.float64(0.031), 'training/iterations': 1.0, 'training/kl_div': 0.006393942050635815, 'training/line_search_success': 1.0, 'training/new_policy_objective': 0.018026258796453476, 'training/policy_objective': 1.2414529919624329e-06, 'training/value_loss': 0.1643935889005661}
{'training/total_steps': 589824, 'training/updates': 18, 'training/sps': np.float64(41576.153), 'training/walltime': np.float64(56.299), 'training/rollout_time': np.float64(0.754), 'training/update_time': np.float64(0.034), 'training/iterations': 1.0, 'training/kl_div': 0.006073547527194023, 'training/line_search_success': 1.0, 'training/new_policy_objective': 0.017448602244257927, 'training/policy_objective': -2.800486981868744e-06, 'training/value_loss': 0.15550552308559418}
{'training/total_steps': 622592, 'training/updates': 19, 'training/sps': np.float64(41234.882), 'training/walltime': np.float64(57.095), 'training/rollout_time': np.float64(0.761), 'training/update_time': np.float64(0.034), 'training/iterations': 1.0, 'training/kl_div': 0.0062910765409469604, 'training/line_search_success': 1.0, 'training/new_policy_objective': 0.01893358863890171, 'training/policy_objective': 1.3401731848716736e-06, 'training/value_loss': 0.15943334996700287}
{'training/total_steps': 655360, 'training/updates': 20, 'training/sps': np.float64(40424.173), 'training/walltime': np.float64(57.907), 'training/rollout_time': np.float64(0.776), 'training/update_time': np.float64(0.035), 'training/iterations': 1.0, 'training/kl_div': 0.00598630215972662, 'training/line_search_success': 1.0, 'training/new_policy_objective': 0.017964119091629982, 'training/policy_objective': -8.735805749893188e-07, 'training/value_loss': 0.15747468173503876}
{'training/total_steps': 688128, 'training/updates': 21, 'training/sps': np.float64(41799.177), 'training/walltime': np.float64(58.693), 'training/rollout_time': np.float64(0.749), 'training/update_time': np.float64(0.035), 'training/iterations': 1.0, 'training/kl_div': 0.0057608745992183685, 'training/line_search_success': 1.0, 'training/new_policy_objective': 0.01811402291059494, 'training/policy_objective': 3.7213321775197983e-06, 'training/value_loss': 0.15814507007598877}
{'training/total_steps': 720896, 'training/updates': 22, 'training/sps': np.float64(41633.016), 'training/walltime': np.float64(59.481), 'training/rollout_time': np.float64(0.754), 'training/update_time': np.float64(0.033), 'training/iterations': 1.0, 'training/kl_div': 0.00589009141549468, 'training/line_search_success': 1.0, 'training/new_policy_objective': 0.019189445301890373, 'training/policy_objective': 1.3959361240267754e-06, 'training/value_loss': 0.16391941905021667}
{'training/total_steps': 753664, 'training/updates': 23, 'training/sps': np.float64(41178.089), 'training/walltime': np.float64(60.278), 'training/rollout_time': np.float64(0.764), 'training/update_time': np.float64(0.032), 'training/iterations': 1.0, 'training/kl_div': 0.005684357136487961, 'training/line_search_success': 1.0, 'training/new_policy_objective': 0.01846260204911232, 'training/policy_objective': 4.1835010051727295e-06, 'training/value_loss': 0.14706459641456604}
{'training/total_steps': 786432, 'training/updates': 24, 'training/sps': np.float64(43317.793), 'training/walltime': np.float64(61.037), 'training/rollout_time': np.float64(0.724), 'training/update_time': np.float64(0.032), 'training/iterations': 1.0, 'training/kl_div': 0.0054556829854846, 'training/line_search_success': 1.0, 'training/new_policy_objective': 0.018779132515192032, 'training/policy_objective': -2.4028122425079346e-07, 'training/value_loss': 0.17058078944683075}
{'training/total_steps': 819200, 'training/updates': 25, 'training/sps': np.float64(42284.862), 'training/walltime': np.float64(61.813), 'training/rollout_time': np.float64(0.743), 'training/update_time': np.float64(0.032), 'training/iterations': 1.0, 'training/kl_div': 0.00594345573335886, 'training/line_search_success': 1.0, 'training/new_policy_objective': 0.019508901983499527, 'training/policy_objective': 3.691297024488449e-06, 'training/value_loss': 0.14765962958335876}
Using JAX default device: cuda:0.
{'eval/num_episodes': 32, 'eval/mean_score': np.float64(38.619), 'eval/std_score': np.float64(25.863), 'eval/mean_episode_length': np.float64(28.375), 'eval/std_episode_length': np.float64(19.721), 'eval/eval_time': 34.40737509727478}
{'training/total_steps': 851968, 'training/updates': 26, 'training/sps': np.float64(37060.624), 'training/walltime': np.float64(97.106), 'training/rollout_time': np.float64(0.848), 'training/update_time': np.float64(0.036), 'training/iterations': 1.0, 'training/kl_div': 0.005305065773427486, 'training/line_search_success': 1.0, 'training/new_policy_objective': 0.01928279921412468, 'training/policy_objective': 3.5890843719244003e-07, 'training/value_loss': 0.1590014547109604}
